"id";"page";"french";"german";"english";"description";"category";"difficulty";"learned"
"1371";"14";"Cisaillement";"Scherschneiden";"Shearing";;"Fertigungstechnik";;
"28";"15";"couper";"abschneiden";"Cutting";;"Fertigungstechnik";;
"321";"15";"Cisaille en continu";"Durchlaufschere";"Continuous shears";;"Fertigungstechnik";;
"1431";"23";"Équipements de protection individuelle";"Schutzausrüstung, persönlich";"Personal protective equipment";;"Sicherheit";;
"105";"23";"Gant de travail";"Arbeitshandschuh";"Work gloves";;"Sicherheit";;
"106";"23";"Casque de travail";"Arbeitshelm";"Safety helmet";;"Sicherheit";;
"107";"23";"Chaussure de travail";"Arbeitsschuh";"Work shoes";;"Sicherheit";;
"1435";"23";"Casque de protection";"Schutzhelm";"Safety helmet";;"Sicherheit";;
"1481";"23";"Chaussure de sécurité";"Sicherheitsschuh";"Safety shoes";;"Sicherheit";;
"1434";"23";"Gant de protection";"Schutzhandschuh";"Protective gloves";;"Sicherheit";;
"554";"24";"Casque anti-bruits";"Gehörschützer";"Ear protection";;"Sicherheit";;
"1107";"24";"Protège oreilles";"Ohrenschützer";"Ear protectors";;"Sicherheit";;
"1450";"24";"Masque de protection";"Schweißerschutzbrille";"Welding goggles";;"Sicherheit";;
"111";"24";"Masque respiratoire";"Atemmaske";"Respirator";;"Sicherheit";;
"1054";"24";"Masque de protection";"Mundschutzmaske";"Face mask";;"Sicherheit";;
"1433";"24";"Lunettes de protection";"Schutzbrille";"Safety glasses";;"Sicherheit";;
"1449";"24";"Lunettes de soudeur";"Schweißerbrille";"Welding goggles";;"Sicherheit";;
"470";"25";"Flamme nue";"Flamme, offen";"Open flame";;"Sicherheit";;
"548";"25";"Absence de danger";"Gefahrlosigkeit";"Safe";;"Sicherheit";;
"771";"25";"Eau non potable";"kein Trinkwasser";"No drinking water";;"Sicherheit";;
"1250";"25";"Absence de danger";"Rettung";"Rescue";;"Sicherheit";;
"238";"25";"Protection contre l'incendie";"Brandschutz";"Fire protection";;"Sicherheit";;
"442";"25";"Flamme nue interdite";"Feuer verboten";"No smoking";;"Sicherheit";;
"513";"25";"Interdit aux piétons";"Fußgänger verboten";"No pedestrians";;"Sicherheit";;
"546";"25";"Enceinte";"Gebot";"Requirement";;"Sicherheit";;
"1231";"25";"Interdiction de fumer";"Rauchen verboten";"No smoking";;"Sicherheit";;
"1771";"25";"Interdiction";"Verbot";"Prohibition";;"Sicherheit";;
"1772";"25";"Acier pour travail à chaud";"Verbotszeichen, allgemein";"Prohibition sign, general";;"Sicherheit";;
"1845";"25";"Avertissement";"Warnung";"Warning";;"Sicherheit";;
"37";"26";"Interdiction de s´arreter";"Abstellen verboten";"No parking";;"Sicherheit";;
"482";"26";"Interdit aux chariots de manutention";"Flurförderzeuge verboten";"Industrial trucks prohibited";;"Sicherheit";;
"912";"26";"Pas de charge lourde";"Last: keine schwere Last";"Load: no heavy loads";;"Sicherheit";;
"1035";"26";"Interdiction de téléphones portables allumés";"Mobiltelefon verboten";"No cell phones";;"Sicherheit";;
"129";"26";"Interdiction de monter";"Aufsteigen verboten";"No climbing";;"Sicherheit";;
"132";"26";"Ne pas utilliser l'ascenseur en cas d'incendie";"Aufzug im Brandfall nicht benutzen";"Do not use the elevator in case of fire";;"Sicherheit";;
"174";"26";"Interdiction de toucher";"Berühren verboten";"Do not touch";;"Sicherheit";;
"414";"26";"Interdiction de manger et de boire";"Essen und Trinken verboten";"No eating or drinking";;"Sicherheit";;
"696";"26";"Blessure à la main";"Hineinfassen verboten";"Do not reach inside";;"Sicherheit";;
"1031";"26";"Interdiction d'éteindre avec de l'eau";"mit Wasser löschen verboten";"Do not extinguish with water";;"Sicherheit";;
"491";"27";"Interdiction de photographier";"Fotografieren verboten";"No photography";;"Sicherheit";;
"635";"27";"Meuleuse(s) à main interdite(s)";"handgeführte(s) Schleifen verboten";"No hand-held grinding";;"Sicherheit";;
"1364";"27";"Ne pas modifier la position de l´interrupteur";"Schalten verboten";"Shifting prohibited";;"Sicherheit";;
"1473";"27";"Meulage latéral interdit";"Seitenschleifen verboten";"Side grinding prohibited";;"Sicherheit";;
"1696";"27";"Interdiction de passer derrière l´arbre pivotant";"Treten hinter den Schwenkarm verboten";"No stepping behind the swing arm";;"Sicherheit";;
"1733";"27";"Entrée interdite aux personnes non autorisées";"Unbefugte, kein Zutritt";"Unauthorized persons, no entry";;"Sicherheit";;
"173";"27";"Interdiction d'utiliser des gants";"Benutzen von Handschuhen verboten";"Use of gloves prohibited";;"Sicherheit";;
"178";"27";"Interdit aux personnes non autorisées";"Besteigen für Unbefugte verboten";"Unauthorized persons prohibited from climbing";;"Sicherheit";;
"181";"27";"Interdiction de pénétrer dans la zone";"Betreten der Fläche verboten";"No entry to this area";;"Sicherheit";;
"1146";"27";"Interdiction de transporter des personnes";"Personenbeförderung verboten";"Transportation of persons prohibited";;"Sicherheit";;
"89";"28";"Respecter les instructions";"Anleitung beachten";"Follow instructions";;"Sicherheit";;
"134";"28";"Utiliser une protection oculaire";"Augenschutz benutzen";"Wear eye protection";;"Sicherheit";;
"407";"28";"mise à la terre, avant utilisation";"erden, vor Benutzung";"Ground the unit before use";;"Sicherheit";;
"518";"28";"Utiliser une protection des pieds";"Fußschutz benutzen";"Wear foot protection";;"Sicherheit";;
"547";"28";"Panneau de signalisation, général";"Gebotszeichen, allgemein";"Mandatory sign, general";;"Sicherheit";;
"553";"28";"Utiliser une protection auditive";"Gehörschutz benutzen";"Use hearing protection";;"Sicherheit";;
"640";"28";"Utiliser des gants de protection";"Handschutz benutzen";"Use hand protection";;"Sicherheit";;
"1075";"28";"Débrancher la prise d'alimentation du secteur";"Netzstecker ziehen";"Unplug the power cord";;"Sicherheit";;
"1437";"28";"Utiliser des vêtements de protection";"Schutzkleidung benutzen";"Wear protective clothing";;"Sicherheit";;
